CEST_CODIGO;NCM_SH
0109000;391990
0106900;8538
0100600;40103
0109100;84123110
0103000;84099
0102600;83023000
0104900;8482
0105500;851220
0100700;40169300
0107500;8708
0109000;87082999
0108300;9032892
0101500;70071100
0103000;84099
0100900;40169990
0102000;7320
0105100;8484
0104900;8482
0103900;84219
0107000;853910
0100200;3917
0109200;84138100
0107900;902620
0102700;831000
0103000;84099
0105400;8511
0107500;8708
0105500;851220
0107500;8708
0102000;7320
0102600;83021000
0107500;8708
0107900;902620
0103000;84099
0103000;84099
0107500;8708
0107500;8708
0108500;94012000
0107800;902610
0102100;7325
0105100;8484
0103500;84139190
0105000;8483
0108800;68129910
0107500;8708
0107500;8708
0100200;3917
0103400;8414802
0103000;84099
0100800;40161010
0105500;851220
0104900;8482
0109600;85011019
0105000;8483
0102400;830160
0107500;8708
0105000;8483
0106500;853650
0109200;84131900
0105000;8483
0108100;90303321
0104900;8482
0101600;70091000
0104700;84812
0108300;9032892
0100900;57050000
0111600;84254910
0105400;8511
0108700;4009
0103000;84099
0107500;8708
0104900;8482
0103000;84099
0108600;96138000
0108700;4009
0107500;8708
0107500;8708
0107500;8708
0103000;84099
0100600;40103
0103000;84099
0107500;8708
0103000;84099
0104200;84213920
0110100;9032898
0110700;59119000
0109300;84137010
0110200;90271000
0105400;8511
0103000;84099
0104900;8482
0100400;39233000
0107500;8708
0104900;8482
0108800;45049000
0103200;841330
0110000;85123000
0105400;8511
0100200;3917
0108700;4009
0103000;84099
0105000;8483
0112400;90321010
0103800;84212990
0104900;8482
0105500;85129000
0105000;8483
0101700;70140000
0103000;84099
0109800;85045000
0109500;84213990
0112100;90251990
0103000;84099
0103000;84099
0104100;84213100
0103900;84219
0103000;84099
0100500;39263000
0107500;8708
0108900;48234000
0102000;7320
0102800;84073
0103000;84099
0109000;391990
0107100;85392
0107100;85392
0100600;40103
0105400;8511
0104501;84339090
0102100;7325
0105500;851240
0108400;91040000
0109000;39191020
0109000;391910
0104000;84241000
0107800;902610
0103300;84141000
0107500;8708
0101500;70072100
0103500;84149010
0103200;841330
0105500;851220
0104900;8482
0107400;8707
0103000;84099
0109400;84145910
0107500;8708
0106600;85361000
0107500;8708
0100600;40103
0105000;8483
0102000;7320
0105000;8483
0105700;8518
0109900;850720
0107700;87169090
0112700;871690
0109400;84145990
0109300;84136019
0106700;85362000
0103500;8414903
0100300;39181000
0111900;85311090
0106800;85364
0107200;85442000
0106900;8538
0100200;3917
0103400;8414801
0103000;84099
0107500;8708
0107600;87141
0101300;65061000
0105300;850710
0105301;85071010
0102500;830170
0100600;40103
0102400;830120
0107300;85443000
0107500;8708
0103500;8414903
0109900;850730
0105300;850710
0109700;85013110
0108700;4009
0108700;4009
0101100;59090000
0105700;8518
0105700;8518
0105900;851981
0107500;8708
0103000;84099
0104500;8431492
0103100;84122
0109200;84135090
0112500;90321090
0111300;84189900
0108500;94019090
0105100;8484
0100700;4823909
0107500;8708
0111400;841950
0104900;8482
0108700;4009
0105400;8511
0105400;8511
0107500;8708
0109000;391910
0107100;85392
0103500;8414903
0103500;84149039
0107500;8708
0103000;84099
0105000;8483
0105000;8483
0105400;8511
0107500;8708
0103700;84212300
0105000;8483
0107500;8708
0105200;850520
0108700;4009
0101400;6813
0107100;85392
0103000;84099
0107500;8708
0103100;84122
0108300;9032892
0103400;8414801
0106100;85272100
0106200;85272900
0105700;8518
0105800;85185000
0100200;3917
0104900;8482
0100200;3917
0100200;3917
0100200;3917
0100200;3917
0100600;40103
0111200;73151210
0103200;841330
0106800;85364
0105000;8483
0101400;6813
0105400;8511
0112300;902690
0108700;4009
0107500;8708
0105500;851220
0105000;8483
0105000;8483
0103200;841330
0103000;84099
0105400;8511
0105000;8483
0106300;85291090
0103500;8414903
0110300;40081100
0100600;40103
0105000;8483
0111400;841950
0104600;84811000
0107500;8708
0110400;56012219
0108700;4009
0107800;902610
0107500;8708
0103400;8414802
0112200;90259010
0100200;3917
0107500;8708
0104300;84254200
0105400;8511
0108700;4009
0104800;84818092
0111500;84249090
0102100;7325
0107500;8708
0105500;851220
0100200;3917
0103000;84099
0107500;8708
0107500;8708
0104900;8482
0105400;8511
0101200;63061
